2026-02-05 11:35:26,148 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TCS', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:35:26,149 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='WIPRO', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:35:26,150 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TITAN', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:35:26,151 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HEROMOTOCO', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:35:33,507 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='None', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:35:34,053 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='APOLLOHOSP', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:35:34,054 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TVSMOTOR', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:35:34,056 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PERSISTENT', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:35:34,056 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:35:34,058 - INFO - RATE_LIMIT_HIT - DATA_API - tsl.get_historical_data(tradingsymbol='TECHM', exchange='NSE', timeframe='1') - Sleeping for 0.449 seconds. Queue size: 5
2026-02-05 11:35:34,520 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TECHM', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:35:38,582 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LTIM', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:35:38,584 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='MPHASIS', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:35:38,585 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OFSS', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:35:38,586 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
