2025-10-08 00:32:17,677 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 00:32:17,677 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='DIVISLAB', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 00:32:24,271 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OBEROIRLTY 28 OCT 1640 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:32:29,365 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:52:38,880 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LODHA', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:52:38,880 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OBEROIRLTY', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 00:52:38,880 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PHOENIXLTD', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 00:52:38,880 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 00:52:38,880 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='DIVISLAB', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 00:52:45,213 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PHOENIXLTD 28 OCT 1600 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:52:50,701 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:53:12,559 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:53:15,061 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:53:17,503 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
